,Year,Country,Region,city,AttackType,Killed,Wounded,Target,Summary,Group,Target_type,Weapon_type,Motive
17867,2008,Turkey,Middle East & North Africa,Semdinli,Bombing/Explosion,0,0.0,"The target was a Justice and Development Party (AKP) building in Semdinli, Hakkari, Turkey.","06/20/2008: On Friday night, in Semdinli, Hakkari, Turkey, assailants detonated a bomb at a Justice and Development Party building, damaging the building but causing no casualties.  The Kongra-Gel (KGK, PKK, TAK, KADEK, HPG) claimed responsibility.",Kurdistan Workers' Party (PKK),Government (General),Explosives,The specific motive for the attack is unknown.
17967,2008,Turkey,Middle East & North Africa,Semdinli,Bombing/Explosion,0,1.0,Civilians,"06/27/2008: On Friday afternoon at 17:00, a civilian was injured from a suspected Kurdistan Workers Party (PKK) mine explosion in Semdinli town of Hakkari district, Turkey. No claim of responsibility was made for the incident.",Kurdistan Workers' Party (PKK),Private Citizens & Property,Explosives,The specific motive for the attack is unknown.
18168,2008,Turkey,Middle East & North Africa,Istanbul,Armed Assault,6,2.0,Turkish police officers,"07/09/2008: On Wednesday, four unknown gunmen kill three Turkish police in at the US consulate in Istanbul, Turkey state, Turkey.  No claim of responsibility was issued for the attack, though the attackers were suspected of being Al Qaeda operatives.",Al-Qaida,Police,Firearms,The specific motive for the attack is unknown.
18427,2008,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,17,154.0,Unspecified civilians,"07/27/2008: On Sunday, two bombs exploded minutes apart in one of Istanbul's busy shopping districts on the European side.  Though the Kurdistan Workers Party denied responsibility for the attack, officials continually accuse them of direct involvement.",Kurdistan Workers' Party (PKK),Private Citizens & Property,Explosives,The specific motive for the attack is unknown.
18428,2008,Turkey,Middle East & North Africa,Semdinli,Bombing/Explosion,3,0.0,A civilian truck was targeted the blast.,"07/27/2008: On Sunday, three people died when a landmine, planted by members of the Kurdistan Workers Party, exploded in Semdinli town of south-eastern province of Hakkari, Turkey.",Kurdistan Workers' Party (PKK),Private Citizens & Property,Explosives,The specific motive for the attack is unknown.
18536,2008,Turkey,Middle East & North Africa,Unknown,Armed Assault,5,0.0,The targets were village guards.,"08/02/2008: On Saturday, at an unknown time, in Sirnak, Turkey, five government-paid village guards were killed when Kurdistan Worker's Party (PKK) terrorists opened fire on them.",Kurdistan Workers' Party (PKK),Police,Firearms,The specific motive for the attack is unknown.
18588,2008,Turkey,Middle East & North Africa,Refahiye,Facility/Infrastructure Attack,0,0.0,Baku-Tbilisi-Ceyhan oil pipeline,"08/05/2008: On Tuesday, in Refahiye, Erzincan, Turkey, assailants caused an explosion on the Baku-Tbilisi-Ceyhan oil pipeline, damaging the pipeline but causing no casualties. The Kurdistan Workers Party's military wing, the People's Defense Forces (HPG) claimed responsibility for the attack, however Turkish authorities initially blamed a system malfunction. Following a multinational investigation, a report from 2014 indicated that the attack was carried out by unidentified assailants who electronicaly disabled the pipeline's monitoring system and gained access to its operational controls, allowing them to increase the pressure in the pipeline and cause the explosion. Although the perpetrators were reportedly at the scene of the attack, investigators found no evidence of a physical bomb. Investigators speculated that at the time of the explosion only state actors would have had the ability to carry out a sophisticated cyber attack.",Kurdistan Workers' Party (PKK),Business,Other,The specific motive for the attack is unknown.
18811,2008,Turkey,Middle East & North Africa,Mersin,Bombing/Explosion,1,12.0,The target were policemen.,"08/19/2008: On Tuesday, at an unknown time, a suspected suicide bomber detonated explosives in his car in Turkey's southern Mersin province killing himself and injuring nine police officers.",Unknown,Police,Explosives,The specific motive for the attack is unknown.
18914,2008,Turkey,Middle East & North Africa,Unknown,Armed Assault,1,5.0,The target was a military transport.,"08/28/2008: On Thursday, at an unknown time, the Kurdistan Worker's Party (PKK) terrorists killed one and injured five in a vehicle attack in Hakkari, Turkey.",Kurdistan Workers' Party (PKK),Military,Firearms,The specific motive for the attack is unknown.
18915,2008,Turkey,Middle East & North Africa,Semdinli,Bombing/Explosion,0,0.0,Civilians were targeted in the attack,"08/28/2008: On Thursday, in Semdinli, Hakkari, Turkey, armed assailants detonated an improvised explosive device on a bus as it passed, damaging the bus but resulting in no casualties. The Kongra-Gel's (KGK, PKK, TAK, KADEK, HPG) military wing, the People's Defense Forces (HPG), claimed responsibility for the attack.",Kurdistan Workers' Party (PKK),Transportation,Explosives,The specific motive for the attack is unknown.
19386,2008,Turkey,Middle East & North Africa,Tunceli,Armed Assault,0,2.0,The target was the Turkish Special Operations Police Teams stationed at a police checkpoint.,"10/24/2008: On Friday evening at 1800, Kurdistan Workers Party (PKK) rebels attacked a police checkpoint using long-barreled weapons against the Turkish Special Operations Teams on duty in the Esentepe section of Tunceli 1.5 kilometers from the town center in Yenimahalle, Turkey. The armed assault, which continued intensely for about one hour, was carried out where Prime Minister Recep Tayyip Erdogan was scheduled to visit his party's central district and take part in various inaugural activities. Two rebels were wounded from the crossfire. No claim of responsibility was made for the incident.",Kurdistan Workers' Party (PKK),Police,Firearms,The specific motive for the attack is unknown.
19491,2008,Turkey,Middle East & North Africa,Hakkari,Bombing/Explosion,0,6.0,The targets of the bombing were civilians.,"11/01/2008: On Saturday afternoon at 1400, in Hakkari, Hakkari, Turkey, assailants detonated an explosive device outside of the Justice and Development Party headquarters, wounding six civilians and damaging the office, several nearby buildings, and several vehicles. No group claimed responsibility.",Unknown,Government (General),Explosives,The specific motive for the attack is unknown.
19599,2008,Turkey,Middle East & North Africa,Hakkari,Bombing/Explosion,0,0.0,The target was private citizens.,"11/10/2008: On Monday evening at around 1800, two kilograms of plastic explosives were discovered under a desk that was to be used for the wreath-laying ceremony. A police officer keeping watch in front of the District Governorship, discovered the explosives, and bomb-dismantling experts deactivated the bomb. There were no reported casualties. There were no claims of responsibility.",Unknown,Private Citizens & Property,Explosives,The specific motive for the attack is unknown.
19740,2008,Turkey,Middle East & North Africa,Midyat,Bombing/Explosion,0,0.0,The target was an oil pipeline.,"11/21/2008: On Friday evening at 2030, in Midyat, Mardin, Turkey, fighters of the Kurdistan Workers Party attacked the Kirkuk-Cihan oil pipeline between Iraq and Turkey, stopping the export of oil. The Kurdish insurgents planted a bomb under the oil pipeline, causing a huge fire near the village of Midiyat in the Mardin Governorate in southeastern Turkey. The Kongra-Gel claimed responsibility.",Kurdistan Workers' Party (PKK),Utilities,Explosives,The specific motive for the attack is unknown.
19856,2008,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,6.0,The Office of the Justice and Development Party (AKP),"12/01/2008: On Monday afternoon, at 1445, in Sisli, Istanbul, Turkey, assailants detonated an improvised explosive device (IED) at the office of the Justice and Development Party (AKP), wounding four police officers, two AKP employees, and damaging the building. The Kongra-Gel (KGK, PKK, TAK, KADEK, HPG)-affiliated Revolutionary Headquarters claimed responsibility. The bomb was allegedly a parcel bomb.",Kurdistan Workers' Party (PKK),Government (General),Explosives,The specific motive for the attack is unknown.
19932,2008,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,2.0,A Vakif Bank branch,"12/06/2008: On Saturday, in Istanbul, Turkey, assailants detonated an improvised explosive device (IED) in front of a Vakif Bank branch, wounding two civilians and damaging the bank. The bomb was placed in a garbage bin near the bank in the district of Fatih. No group claimed responsibility.",Unknown,Business,Explosives,The specific motive for the attack is unknown.
20758,2009,Turkey,Middle East & North Africa,Unknown,Unarmed Assault,0,15.0,Turkish police were the target of this attack.,"02/15/2009:  On Sunday,  in the southeastern province of Diyarbakir, Turkish police, attempting to dispers an illegal assembly of PKK supporters, protesting the 10th anniversary of the capture of Abdullah Ocalan, were attacked by an unknown number of protestors, wearing masks and throwing rocks.  According to official reports, at least 15 officers and journalists were wounded in this attack. There was no claim of responsibility and it is unknown if the attack caused any property damage.",Unknown,Police,Melee,The specific motive for the attack is unknown.
20955,2009,Turkey,Middle East & North Africa,Besikduzu,Bombing/Explosion,0,9.0,A bar was the targeted.,"03/07/2009: On Saturday, in the early morning, in Besikduzu, Sanliurfa, Turkey, an improvised explosive device (IED) exploded in a bar, wounding nine people and causing light damage to the bar.  No motive was reported and no group claimed responsibility.",Unknown,Business,Explosives,The specific motive for the attack is unknown.
21516,2009,Turkey,Middle East & North Africa,Ankara,Bombing/Explosion,0,5.0,The internet cafe was the target in the attack.,"04/23/2009: On Thursday evening in Ankara, Turkey, an improvised explosive device exploded outside an internet cafe, wounding five children.  No group claimed responsibility.",Unknown,Business,Explosives,The specific motive for the attack is unknown.
21566,2009,Turkey,Middle East & North Africa,Istanbul,Armed Assault,3,8.0,Police officers,"04/27/2009: On Monday morning at 0530, in the Bostanci neighborhood of Istanbul, Turkey, Orhan Yilmazkaya, a member of Revolutionary Organization, shot at the police after refusing to surrender. During the shootout, three people were killed, including Yilmazkaya, and seven others were wounded. No claim of responsibility was made for the attack",Revolutionary Headquarters (Turkey),Police,Firearms,The specific motive for the attack is unknown.
21580,2009,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,A military student dormitory was the target in the attack.,"04/28/2009: On Tuesday in the Maslak District, Istanbul, Istanbul, Turkey, an improvised explosive device exploded in a parking lot outside a military student dormitory, causing minor damage but no casualties.  No group claimed responsibility.",Unknown,Military,Explosives,The specific motive for the attack is unknown.
21600,2009,Turkey,Middle East & North Africa,Ankara,Bombing/Explosion,0,0.0,"The Former Turkish Justice Minister, Hikmet Sami Turk,","04/29/2009: On Wednesday in Ankara, Turkey, Turkey, Didem Akman, a female suicide bomber, and S. Onur Yilmaz, a male suicide bomber, were both caught at Bilkent University trying to flee the University after Akman's suicide bombing attempt to kill Former Turkish Justice Minister Hikmet Sami Turk who was giving a lecture at the university failed. Akman, who was carrying two pounds of unknown explosives on her body, and Yilmaz both belonged to the Revolutionary People's Liberation Party-Front (DHKP-C). Former Justice Minister Turk claimed that the reason of the attack was the ""Operation Return to Life"" that was carried out at prisons in 2000, however, neither Akman nor Yilmaz claimed responsibility or stated a motive for the attack.",Devrimici Halk Kurtulus Cephesi (DHKP/C),Government (General),Explosives,"Former Justice Minister Turk claimed that the reason of the attack was the ""Operation Return to Life"" that was carried out at prisons in 2000."
21922,2009,Turkey,Middle East & North Africa,Cukurca,Facility/Infrastructure Attack,0,0.0,Two construction vehicles were targeted in the arson.,"05/28/2009: On Thursday in Cukurca, Hakkari, Turkey, assailants set fire to several work machines. The Kurdistan Workers Party (PKK) was responsible for the attack.",Kurdistan Workers' Party (PKK),Business,Incendiary,The specific motive for the attack is unknown.
22416,2009,Turkey,Middle East & North Africa,Silopi,Bombing/Explosion,4,9.0,A bus carrying civilians was targeted in the attack.,"07/06/2009: On Monday morning, in Silopi, Sirnak, Turkey, a landmine exploded as a bus carrying construction workers passed over it, killing four civilians, wounding nine others, and damaging the bus. No group claimed responsibility, although the rovincial governor's office said the explosive device was believed to have been laid by the separatist rebel Kurdistan Workers' Party (PKK).",Kurdistan Workers' Party (PKK),Transportation,Explosives,The specific motive for the attack is unknown.
22912,2009,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,1,1.0,A textile factory was targeted in the attack.,"08/14/2009: On Friday, in the Gaziosmanpasa area of Istanbul, Istanbul, Turkey, a bomb exploded outside a textile factory, killing one security guard, wounding one civilian, and damaging the factory. No group claimed responsibility, although it was widely believed Kongra-Gel (KGK, PKK, TAK, KADEK, HPG) was responsible.",Kurdistan Workers' Party (PKK),Business,Explosives,The specific motive for the attack is unknown.
24071,2009,Turkey,Middle East & North Africa,Istanbul,Armed Assault,0,0.0,A passenger bus was targeted in the attack.,"11/29/2009: On Sunday, in the Hamidiye neighborhood, Sultanbeyli, Istanbul, Turkey, a group of insurgents, which held illegal demonstrations, stopped a Istanbul Electric Power, Subway and Streetcar, bus and forced the passengers out, then proceeded to throw a Molotov cocktail at the vehicle setting it on fire. The attack damaged the bus but caused no casualties. The Partiya Karkaren Kurdistan (PKK) are believed to be responsible.",Kurdistan Workers' Party (PKK),Transportation,Incendiary,The specific motive for the attack is unknown.
24157,2009,Turkey,Middle East & North Africa,Hatay,Facility/Infrastructure Attack,0,0.0,The Democratic Society Party office in Hatay,"12/09/2009: On Wednesday, in Hatay, Turkey, assailants threw Molotov cocktails at the Democratic Society Party office, damaging the office but causing no casualties. No group claimed responsibility.",Unknown,Government (General),Incendiary,The specific motive for the attack is unknown.
25505,2010,Turkey,Middle East & North Africa,Istanbul,Facility/Infrastructure Attack,0,0.0,Assailants targeted a bus.,"04/13/2010: On Tuesday night, in Gaziosmanpasa District, Istanbul, Turkey, suspected Partiya Karkaren Kurdistan (PKK) activists threw an incendiary device at a bus, which was heading from the Yunus Emre disrtict to Beyazit. No casualties were reported in the attack however the bus was set on fire and extinguished quickly by the bus driver. The attack was believed to have been organized because of an assault on the former Democratic Society Party (DTP) leader Ahmet TÃ¼rk who was punched in the face on Monday in Samsun. No group claimed responsibility.",Kurdistan Workers' Party (PKK),Transportation,Incendiary,The attack was believed to have been organized because of an assault on the former Democratic Society Party (DTP) leader Ahmet TÃ¼rk who was punched in the face on Monday in Samsun.
25779,2010,Turkey,Middle East & North Africa,Unknown,Unarmed Assault,0,0.0,The target was AKP parliamentary deputy Kursat Tuzmen.,"05/09/2010: On Sunday, in Adana Province, Turkey, an armed assault was attempted on AKP parliamentary deputy Kursat Tuzmen, after he attended a funeral for a fallen soldier. No group claimed responsibility.",Unknown,Government (General),Melee,The specific motive for the attack is unknown.
26436,2010,Turkey,Middle East & North Africa,Duzici district,Bombing/Explosion,0,0.0,A freight train was targeted in the attack.,"06/29/2010: On Tuesday, in the town of Duzici, Osmaniye, Turkey, a bomb exploded on a railway, damaging the tracks but causing no casualties. The bomb reportedly went off as a freight train on Route No 63300 between Fevzipasa and Iskenderun was passing through a location between the Tasoluk Station in the Bahce district and the Yarbasi Station. No group claimed responsibility, although it was widely believed Kongra-Gel (KGK)/ Kurdistan Workers' Party (PKK) was responsible.",Kurdistan Workers' Party (PKK),Transportation,Explosives,The specific motive for the attack is unknown.
26485,2010,Turkey,Middle East & North Africa,Midyat,Bombing/Explosion,0,0.0,A section of the Kirkuk-Yumurtalik oil pipeline was targeted in the attack.,"07/03/2010: On Saturday evening around 2015, in an unknown location near Midyat, Mardin, Turkey, suspected members of the Kurdistan Workers Party (PKK) bombed a section of the Kirkuk-Yumurtalik oil pipeline that runs from Iraq to Turkey, causing severe damage to the pipeline. The PKK has sabotaged the pipeline several times in the past as part of its armed campaign against the Ankara government. No casualties were reported and no group claimed responsibility, although the PKK was suspected of being responsible.",Kurdistan Workers' Party (PKK),Utilities,Explosives,The specific motive for the attack is unknown.
26727,2010,Turkey,Middle East & North Africa,Dogubeyazit district,Bombing/Explosion,0,0.0,The Iran-Ankara Botas natural gas pipeline was targeted in the attack.,"07/20/2010: On Tuesday night, in Dogubayazit, Agri, Turkey, an explosion occurred at the 27th kilometer of the Iran-Ankara Botas natural gas pipeline that carries gas from Iran to Turkey, interrupting the flow and damaging the pipeline along with several work places and houses. Agri Governor Ali Yerlikaya blamed the Kurdistan Workers Party (PKK) for the attack. No casualties were reported and no group claimed responsibility, although the PKK was suspected of being responsible.",Kurdistan Workers' Party (PKK),Utilities,Explosives,The specific motive for the attack is unknown.
26844,2010,Turkey,Middle East & North Africa,Erzincan,Bombing/Explosion,0,0.0,A train carrying passengers and military supplies was targeted in the attack.,"08/02/2010: On Monday, near Erzincan, Turkey, eight cars of a cargo train were derailed by a mine explosion between Alp station and Erzincan. The train was carrying passengers and cargo, including military equipment and vehicles. No casualties or damages were reported and no group claimed responsibility, although the Kurdistan Workers Party (PKK) was thought to be responsible.",Kurdistan Workers' Party (PKK),Transportation,Explosives,The specific motive for the attack is unknown.
26918,2010,Turkey,Middle East & North Africa,Hakkari,Facility/Infrastructure Attack,0,0.0,A police housing complex was targeted in the attack.,"08/08/2010: On Sunday, on Bulvar Avenue, in one of four related attacks in Hakkari, Turkey, unidentified assailants launched fireworks, threw Molotov cocktails and opened fire against housing complexes inhabited by police officers, judicial officials and staff of the National Intelligence Organization. A fire broke out on the fourth floor of a police staff housing complex after it was hit by a Molotov cocktail; it caused an unknown amount of damage. No casualties were reported and no group claimed responsibility, although the Kurdistan Workers Party (PKK) was thought to be responsible.",Kurdistan Workers' Party (PKK),Police,Incendiary,The specific motive for the attack is unknown.
26919,2010,Turkey,Middle East & North Africa,Hakkari,Facility/Infrastructure Attack,0,0.0,A National Intelligence Organization housing complex was targeted in the attack.,"08/08/2010: On Sunday, on Konak Avenue, in one of four related attacks in Hakkari, Turkey, unidentified assailants launched fireworks, threw Molotov cocktails and opened fire against housing complexes inhabited by police officers, judicial officials and staff of the National Intelligence Organization. No casualties or damages were reported and no group claimed responsibility, although the Kurdistan Workers Party (PKK) was thought to be responsible.",Kurdistan Workers' Party (PKK),Government (General),Incendiary,The specific motive for the attack is unknown.
26920,2010,Turkey,Middle East & North Africa,Hakkari,Facility/Infrastructure Attack,0,0.0,The headquarters of the Justice and Development Party provincial branch was targeted in the attack.,"08/08/2010: On Sunday, on Kayacan Avenue, in one of four related attacks in Hakkari, Turkey, unidentified assailants launched fireworks, threw Molotov cocktails and opened fire on the headquarters of the Justice and Development Party provincial branch. No casualties or damages were reported and no group claimed responsibility, although the Kurdistan Workers Party (PKK) was thought to be responsible.",Kurdistan Workers' Party (PKK),Government (General),Firearms,The specific motive for the attack is unknown.
26921,2010,Turkey,Middle East & North Africa,Hakkari,Facility/Infrastructure Attack,0,0.0,The headquarters of the local police department in Daggol district,"08/08/2010: On Sunday, in the Daggol district, in one of four related attacks in Hakkari, Turkey, unidentified assailants launched fireworks, threw Molotov cocktails and opened fire on the headquarters of the local police department. No casualties or damages were reported and no group claimed responsibility, although the Kurdistan Workers Party (PKK) was thought to be responsible.",Kurdistan Workers' Party (PKK),Police,Firearms,The specific motive for the attack is unknown.
26944,2010,Turkey,Middle East & North Africa,Magara,Bombing/Explosion,2,1.0,A Petroleum Pipeline Corporation oil pipeline was targeted in the bombing.,"08/10/2010: On Tuesday evening at 1830, near Magara in Sirnak, Turkey, unidentified assailants detonated an improvised explosive device targeting part of the Kirkuk-Ceyhan oil pipeline operated by the Petroleum Pipeline Corporation, cutting off the oil flow while damaging the pipeline along with two cars. Two civilians were killed and one wounded in a vehicle that was passing by. The Kurdistan Workers Party (PKK) claimed responsibility for the attack.",Kurdistan Workers' Party (PKK),Utilities,Explosives,The specific motive for the attack is unknown.
27090,2010,Turkey,Middle East & North Africa,Unknown,Armed Assault,1,0.0,"An imam, Aziz Tan,","08/23/2010: On Monday morning, in eastern Hakkari, Turkey, unidentified militants shot an imam, Aziz Tan, in front of the Haci Sair Mosque. Tan was taken to Hakkari State Hospital where he later died. No group claimed responsibility, although the Kurdistan Workers Party (PKK) was thought to be responsible.",Kurdistan Workers' Party (PKK),Religious Figures/Institutions,Firearms,The specific motive for the attack was religious.
27112,2010,Turkey,Middle East & North Africa,Unknown,Bombing/Explosion,0,0.0,A pipeline was targeted in the attack.,"08/24/2010: On Tuesday night, in eastern Agri, Turkey, unidentified militants blew up part of the Iranian-Turkish natural gas pipeline, damaging the pipeline and shutting down the natural gas supply to Turkey. No casualties occurred and no group claimed responsibility, although the Kurdistan Workers Party (PKK) was thought to be responsible.",Kurdistan Workers' Party (PKK),Utilities,Explosives,The specific motive for the attack is unknown.
27447,2010,Turkey,Middle East & North Africa,Gecitli,Bombing/Explosion,9,4.0,A passenger minibus,"09/16/2010: On Thursday, in Gecitli village in Hakkari, Turkey, Turkey, nine people were killed and four others were wounded when a passenger minibus triggered a landmine, which exploded and damaged the vehicle. No group claimed responsibility, but the Kurdistan Workers Party is suspected of being responsible.",Kurdistan Workers' Party (PKK),Transportation,Explosives,The specific motive for the attack is unknown.
28528,2010,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,Civilians,"12/09/2010: On Thursday night, on Dolapdere Street of the Beyoglu district in Istanbul, Turkey, an improvised explosive device exploded and broke the windows of nearby houses and workplaces. Police have launched an investigation into the incident. The attack was one of four related attacks that took place in Istanbul. No casualties were reported and no group claimed responsibility.",Unknown,Private Citizens & Property,Explosives,The specific motive for the attack is unknown.
28531,2010,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,Civilians,"12/09/2010: On Thursday night, in the Kurtulus neighborhood of the Sisli district in Istanbul, Turkey, an improvised explosive device detonated in Sefa Square on the European side of the city. The blast broke the windows of nearby houses and workplaces. Police have launched an investigation into the incident. The attack was one of four related attacks that took place in Istanbul. No casualties were reported and no group claimed responsibility for the attack.",Unknown,Private Citizens & Property,Explosives,The specific motive for the attack is unknown.
28532,2010,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,Civilians,"12/09/2010: On Thursday night, in the GÃ¼vercintepe quarter of the Basaksehir district in Istanbul, Turkey, an improvised explosive device exploded in front of a two story building. The blast broke the windows of nearby houses and workplaces. Police have launched an investigation into the incident. The attack was one of four related attacks that took place in Istanbul. No casualties were reported and no group claimed responsibility.",Unknown,Private Citizens & Property,Explosives,The specific motive for the attack is unknown.
28533,2010,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,A store was targeted in the attack.,"12/09/2010: On Thursday night, in the InÃ¶nÃ¼ neighborhood of the Esenyurt district in Istanbul, Turkey, an improvised explosive device exploded in front of a store. The blast broke the windows of nearby houses and workplaces. Police have launched an investigation into the incident. The attack was one of four related attacks that took place in Istanbul. No casualties were reported and no group claimed responsibility.",Unknown,Business,Explosives,The specific motive for the attack is unknown.
29357,2011,Turkey,Middle East & North Africa,Mersin,Facility/Infrastructure Attack,0,1.0,A Turkish restaurant,"02/16/2011: On Wednesday evening at 1400, on Tantuniciye Street in Sevket Sumer neighborhood of Mersin, Turkey, two unknown men threw a Molotov cocktail into a restaurant that had not given into pressure to close its doors to protest PKK leader Abdullah Ãcalan's imprisonment on the anniversary of his capture in Kenya in 1999. The attack severely wounded a 45-year-old man, Suphi Beylen, as he was eating diner and resulted in an unknown amount of property damage to the restaurant. No group claimed responsibility, but Kurdistan Workers Party (PKK / Kongra GEL) Protestors were suspected in an attempt to create tension and chaos in the country and thereby influence voters ahead of the June 12 general elections. Authorities arrested the two men shortly following the attack.",Kurdistan Workers' Party (PKK),Business,Incendiary,"The attack was carried out in a suspected attempt to create tension and chaos in the country and thereby influence voters ahead of the June 12, 2011 general elections."
29892,2011,Turkey,Middle East & North Africa,Toroslar,Bombing/Explosion,0,0.0,A building housing the ruling Justice and Development Party,"03/29/2011: On Tuesday, in Toroslar, Mersin, Turkey, an unidentified militant threw a percussion bomb that was contained inside a soda can at a building housing the ruling Adalet ve Kalkinma Partisi (Justice and Development Party). No casualties or damages were reported and no group claimed responsibility for the attack.",Unknown,Government (General),Explosives,The specific motive for the attack is unknown.
30215,2011,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,The AtatÃ¼rk Culture Center,"04/21/2011: On Thursday night, in the Zeytinburnu neighborhood of Istanbul, Turkey, a small sound bomb exploded in front of the AtatÃ¼rk Culture Center causing an unknown amount of property damage, but no casualties. No group claimed responsibility for the attack.",Unknown,Private Citizens & Property,Explosives,The specific motive for the attack is unknown.
30226,2011,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,2.0,A school was the intended target of the device.,"04/22/2011: On Friday morning at 0915, at a park in Tuzla sub-district near the Tuzla State Hospital, Istanbul, Turkey, two unidentified militants with previous links to the Kurdistan Workers Party (PKK) were wounded when a home-made sound bomb they were handling prematurely detonated. The men were seen sitting on a park bench with a package in their hands shortly before the explosion. Witnesses also told police the two men had been asking for directions to a school. The two individuals were identified as Mazlum Singil and Gulizar Turhan. No damage was reported and no group claimed responsibility for the attack.",Kurdistan Workers' Party (PKK),Educational Institution,Explosives,The specific motive for the attack is unknown.
30419,2011,Turkey,Middle East & North Africa,Buca district,Bombing/Explosion,0,0.0,A Justice and Development Party election office,"05/07/2011: On Saturday night, in the Buca district of Izmir, Turkey, unidentified assailants threw a percussion bomb at an election office of the Justice and Development Party (AK Party). The bomb caused no casualties but did damage the building. No group claimed responsibility.",Unknown,Government (General),Explosives,The specific motive for the attack is unknown.
30450,2011,Turkey,Middle East & North Africa,Adana,Facility/Infrastructure Attack,0,0.0,The election bureau office of Justice and Development Party candidate Omer Celik,"05/10/2011: On Tuesday, in the Yuregir area of Adana, Turkey, unidentified militants used Molotov Cocktails to attack the election bureau office of Omer Celik. The attack caused an unknown amount of property damage to the office. No casualties were reported and no group has claimed responsibility for the attack.",Unknown,Private Citizens & Property,Incendiary,The specific motive for the attack is unknown.
30495,2011,Turkey,Middle East & North Africa,Saricam District,Facility/Infrastructure Attack,0,0.0,An election office of Omer Celik of the Justice and Development party was targeted in the attack.,"05/13/2011: On Friday, in Saricam District, Adana Province, Turkey, unidentified militants used Molotov Cocktails to attack the election bureau office of Omer Celik with the Justice and Development Party. The attack, which was the second one against Celik since 05/10/2011, caused an unknown amount of property damage to the election office. No casualties were reported and no group has claimed responsibility for the attack.",Unknown,Government (General),Incendiary,The specific motive for the attack is unknown.
30557,2011,Turkey,Middle East & North Africa,Diyarbakir,Facility/Infrastructure Attack,0,0.0,A political party office was targeted in the incident.,"05/17/2011: On Tuesday, in Diyarbakir, Turkey, unidentified assailants threw Molotov cocktails and the Justice and Development Party's election office in an incendiary device attack. The building was not damaged. No casualties were reported and no group claimed responsibility for the attack.",Unknown,Government (General),Incendiary,The specific motive for the attack is unknown.
30558,2011,Turkey,Middle East & North Africa,Istanbul,Facility/Infrastructure Attack,0,0.0,A public bus was targeted in the incident.,"05/17/2011: On Tuesday night, in the Okmeydani district of Istanbul, Turkey, a group of unidentified masked militants threw a Molotov cocktail inside a public bus after they forced the passengers and the driver to exit. The fire was eventually put out by the driver and passengers, but the fire had already damaged the interior. No casualties were reported and no group claimed responsibility for the attack.",Unknown,Transportation,Incendiary,The specific motive for the attack is unknown.
30586,2011,Turkey,Middle East & North Africa,Sanliurfa,Facility/Infrastructure Attack,0,0.0,A Justice and Development Party office,"05/19/2011: On Thursday, in Sanliurfa, Turkey, unidentified individuals threw Molotov cocktails at the Justice and Development Party office. An unspecified amount of damage was caused to the building but no casualties were reported and no group claimed responsibility for the attack.",Unknown,Government (General),Incendiary,The specific motive for the attack is unknown.
30628,2011,Turkey,Middle East & North Africa,Istanbul,Facility/Infrastructure Attack,0,0.0,A public bus,"05/22/2011: On Sunday, at the Okmeydani Sark Kahvesi bus stop in the Sisli neighborhood in Istanbul, Turkey, a group of about 20 unidentified masked militants threw a Molotov cocktail at a public bus. The Molotov cocktail caused the bus to catch fire, forcing the driver and passengers to exit the bus before it eventually completely burned up. The militants then fled the scene, escaping capture by responding police. No casualties were reported and no group claimed responsibility for the attack although separatist organizations are believed to be responsible.",Unknown,Transportation,Incendiary,The specific motive for the attack is unknown.
30634,2011,Turkey,Middle East & North Africa,Nusaybin district,Bombing/Explosion,0,0.0,An election rally,"05/22/2011: On Sunday, under a bridge on the main road between Nusaybin and Cizre districts in Mardin, Turkey, unidentified militants planted three improvised explosive devices in tubes, which had a long cable running away from the road and connected to a remote control. The devices contained a total of 36 kilograms of TNT explosive. Security forces later destroyed the explosives. There were no casualties in the attempted bombing and no group claimed responsibility.",Unknown,Government (General),Explosives,The specific motive for the attack is unknown.
30659,2011,Turkey,Middle East & North Africa,Diyarbakir,Bombing/Explosion,0,0.0,An election office of the Justice and Development Party,"05/25/2011: On Wednesday, in Diyarbakir, Turkey, Turkey, unidentified militants detonated a percussion bomb targeting an election office of the Justice and Development Party. The blast caused no casualties but did shatter the windows of the building. No group claimed responsibility for the attack, however, police believe that the pro-Kurdish Peace and Democracy Party (BDP) and the Kurdistan Workers' Party (PKK) are behind these attacks.",Kurdistan Workers' Party (PKK),Government (General),Explosives,The specific motive for the attack is unknown.
